date,cash_eod,option_mv_eod,etf_mv_eod,equity_eod,realized_pnl_cum,unrealized_pnl_eod,daily_pnl,total_pnl_cum,drawdown,equity_curve,daily_return,cum_return,drawdown_pct,rolling_sharpe_60d,benchmark_price,benchmark_shares,benchmark_cash,benchmark_equity,benchmark_return,benchmark_daily_return,excess_equity,excess_return,excess_daily_return
2025-02-28,14586.0,-9050.0,0.0,5536.0,14586.0,-9050.0,-6000.0,5536.0,-6000.0,1005536.0,-0.006,0.005536,-0.006,0.7711551429123604,2.128,495294,1.4139999999897555,1053987.046,0.05398704600000004,-0.037974634533161744,-48451.04600000009,-0.04845104600000004,0.031974634533161746
2025-03-03,14586.0,-5499.999999999999,0.0,9086.0,14586.0,-5499.999999999999,3550.0,9086.0,-2450.0,1009086.0,0.00355,0.009086,-0.00245,1.2294659521764433,2.154,495294,1.4139999999897555,1066864.69,0.06686468999999984,0.012218028721388885,-57778.689999999944,-0.05777868999999984,-0.008668028721388884
2025-03-04,14586.0,-5000.0,0.0,9586.0,14586.0,-5000.0,500.0,9586.0,-1950.0,1009586.0,0.0005,0.009586,-0.00195,1.2798334853751239,2.149,495294,1.4139999999897555,1064388.2200000002,0.06438822000000011,-0.002321259690392208,-54802.220000000205,-0.05480222000000011,0.002821259690392208
2025-03-05,14586.0,-4850.0,0.0,9736.0,14586.0,-4850.0,150.0,9736.0,-1800.0,1009736.0,0.00015,0.009736,-0.0018,1.2830694273608165,2.149,495294,1.4139999999897555,1064388.2200000002,0.06438822000000011,0.0,-54652.220000000205,-0.054652220000000105,0.00015
2025-03-06,14586.0,-2200.0,0.0,12386.0,14586.0,-2200.0,2650.0,12386.0,0.0,1012386.0,0.00265,0.012386,0.0,1.5997373527646124,2.191,495294,1.4139999999897555,1085190.568,0.08519056800000002,0.019543947977928244,-72804.56799999997,-0.07280456800000003,-0.016893947977928245
2025-03-07,14586.0,-2100.0,0.0,12486.0,14586.0,-2100.0,100.0,12486.0,0.0,1012486.0,0.0001,0.012486,0.0,1.592774717701469,2.16,495294,1.4139999999897555,1069836.454,0.06983645399999983,-0.01414877207078713,-57350.45399999991,-0.05735045399999983,0.01424877207078713
2025-03-10,14586.0,-1800.0,0.0,12786.0,14586.0,-1800.0,300.0,12786.0,0.0,1012786.0,0.0003,0.012786,0.0,1.6115099620401732,2.159,495294,1.4139999999897555,1069341.1599999997,0.06934115999999979,-0.00046296235106624284,-56555.15999999968,-0.05655515999999979,0.0007629623510662428
2025-03-11,14586.0,-1750.0000000000002,0.0,12836.0,14586.0,-1750.0000000000002,50.0,12836.0,0.0,1012836.0,5e-05,0.012836,0.0,1.5987555779073255,2.159,495294,1.4139999999897555,1069341.1599999997,0.06934115999999979,0.0,-56505.15999999968,-0.05650515999999979,5e-05
2025-03-12,14586.0,-1550.0,0.0,13036.0,14586.0,-1550.0,200.0,13036.0,0.0,1013036.0,0.0002,0.013036,0.0,1.6050891320111966,2.149,495294,1.4139999999897555,1064388.2200000002,0.06438822000000011,-0.004631767844791024,-51352.220000000205,-0.05135222000000011,0.004831767844791023
2025-03-13,14586.0,-2300.0,0.0,12286.0,14586.0,-2300.0,-750.0,12286.0,-750.0,1012286.0,-0.00075,0.012286,-0.00075,1.4937262824571973,2.125,495294,1.4139999999897555,1052501.1639999999,0.052501163999999934,-0.011167970273102346,-40215.16399999987,-0.040215163999999935,0.010417970273102345
2025-03-14,14586.0,-500.0,0.0,14086.0,14586.0,-500.0,1800.0,14086.0,0.0,1014086.0,0.0018,0.014086,0.0,1.6887760448614004,2.186,495294,1.4139999999897555,1082714.0979999998,0.08271409799999985,0.028705843787551366,-68628.09799999977,-0.06862809799999985,-0.026905843787551367
2025-03-17,14586.0,-250.0,0.0,14336.0,14586.0,-250.0,250.0,14336.0,0.0,1014336.0,0.00025,0.014336,0.0,1.7003588757976011,2.173,495294,1.4139999999897555,1076275.276,0.07627527600000006,-0.005946927274608882,-61939.27600000007,-0.06193927600000006,0.006196927274608882
2025-03-18,14586.0,-150.0,0.0,14436.0,14586.0,-150.0,100.0,14436.0,0.0,1014436.0,0.0001,0.014436,0.0,1.6941986681133496,2.185,495294,1.4139999999897555,1082218.804,0.08221880400000003,0.005522312118967587,-67782.804,-0.06778280400000003,-0.005422312118967587
2025-03-19,14586.0,-200.0,0.0,14386.0,14586.0,-200.0,-50.0,14386.0,-50.0,1014386.0,-5e-05,0.014386,-5e-05,1.670749936770404,2.178,495294,1.4139999999897555,1078751.7459999998,0.07875174599999979,-0.0032036571414075787,-64365.74599999981,-0.0643657459999998,0.0031536571414075786
2025-03-20,14586.0,-150.0,0.0,14436.0,14586.0,-150.0,50.0,14436.0,0.0,1014436.0,5e-05,0.014436,0.0,1.6595800086815746,2.158,495294,1.4139999999897555,1068845.866,0.06884586599999998,-0.00918272441896928,-54409.86599999992,-0.05440986599999998,0.009232724418969279
2025-03-21,14586.0,-250.0,0.0,14336.0,14586.0,-250.0,-100.0,14336.0,-100.0,1014336.0,-0.0001,0.014336,-0.0001,1.631529351397153,2.112,495294,1.4139999999897555,1046062.3420000001,0.046062342000000145,-0.021316005164770724,-31726.342000000062,-0.03172634200000014,0.021216005164770724
2025-03-24,14586.0,-100.0,0.0,14486.0,14586.0,-100.0,150.0,14486.0,0.0,1014486.0,0.00015,0.014486,0.0,1.632635373129912,2.112,495294,1.4139999999897555,1046062.3420000001,0.046062342000000145,0.0,-31576.342000000062,-0.031576342000000146,0.00015
2025-03-25,14586.0,-50.0,0.0,14536.0,14586.0,-50.0,50.0,14536.0,0.0,1014536.0,5e-05,0.014536,0.0,1.6226326030872575,2.105,495294,1.4139999999897555,1042595.284,0.0425952839999999,-0.003314389459208811,-28059.283999999985,-0.0280592839999999,0.003364389459208811
2025-03-26,14586.0,0.0,0.0,14586.0,14586.0,0.0,50.0,14586.0,0.0,1014586.0,5e-05,0.014586,0.0,1.6129631946096366,2.098,495294,1.4139999999897555,1039128.2259999999,0.03912822599999988,-0.003325411166927972,-24542.225999999908,-0.024542225999999875,0.003375411166927972
2025-03-27,16198.0,-883.9999999999999,0.0,15314.0,16198.0,-883.9999999999999,728.0,15314.0,0.0,1015314.0,0.000728,0.015314,0.0,1.6775494304674212,2.103,495294,1.4139999999897555,1041604.6960000001,0.04160469600000005,0.002383218873317494,-26290.696000000113,-0.02629069600000005,-0.0016552188733174942
2025-03-28,16198.0,-988.0,0.0,15210.0,16198.0,-988.0,-104.0,15210.0,-104.0,1015210.0,-0.000104,0.01521,-0.000104,1.6509029788971203,2.089,495294,1.4139999999897555,1034670.58,0.034670580000000006,-0.006657147405948471,-19460.579999999958,-0.019460580000000005,0.0065531474059484715
2025-03-31,16198.0,-2132.0000000000005,0.0,14066.0,16198.0,-2132.0000000000005,-1144.0,14066.0,-1248.0,1014066.0,-0.001144,0.014066,-0.001248,1.509395898439694,2.064,495294,1.4139999999897555,1022288.23,0.02228823000000002,-0.011967432185034155,-8222.229999999981,-0.00822223000000002,0.010823432185034156
2025-04-01,16198.0,-1820.0,0.0,14378.0,16198.0,-1820.0,312.0,14378.0,-936.0,1014378.0,0.000312,0.014378,-0.000936,1.5295092151375953,2.062,495294,1.4139999999897555,1021297.6419999999,0.02129764199999995,-0.0009689909077795766,-6919.641999999876,-0.00691964199999995,0.0012809909077795766
2025-04-02,16198.0,-1560.0,0.0,14638.0,16198.0,-1560.0,260.0,14638.0,-676.0,1014638.0,0.00026,0.014638,-0.000676,1.5439145887740136,2.064,495294,1.4139999999897555,1022288.23,0.02228823000000002,0.0009699307618691311,-7650.229999999981,-0.00765023000000002,-0.000709930761869131
2025-04-03,16198.0,-2600.0,0.0,13598.0,16198.0,-2600.0,-1040.0,13598.0,-1716.0,1013598.0,-0.00104,0.013598,-0.001716,1.4192082865195244,2.027,495294,1.4139999999897555,1003962.3520000001,0.003962352000000058,-0.01792633179392067,9635.647999999928,0.009635647999999943,0.01688633179392067
2025-04-07,16198.0,-109200.0,0.0,-93002.0,16198.0,-109200.0,-106600.0,-93002.0,-108316.0,906998.0,-0.1066,-0.093002,-0.108316,-1.6035511072071775,1.775,495294,1.4139999999897555,879148.264,-0.12085173599999999,-0.12432148252507391,27849.736000000034,0.027849735999999986,0.01772148252507391
2025-04-08,16198.0,-70512.0,0.0,-54314.0,16198.0,-70512.0,38688.0,-54314.0,-69628.0,945686.0,0.038688,-0.054314,-0.069628,-0.7722750560869425,1.804,495294,1.4139999999897555,893511.79,-0.10648820999999997,0.016338001891339715,52174.20999999996,0.05217420999999997,0.022349998108660285
2025-04-09,16198.0,-58136.0,0.0,-41938.0,16198.0,-58136.0,12376.0,-41938.0,-57252.0,958062.0,0.012376,-0.041938,-0.057252,-0.5864254505704812,1.823,495294,1.4139999999897555,902922.3759999999,-0.09707762400000008,0.010532134108717228,55139.62400000007,0.05513962400000008,0.0018438658912827716
2025-04-10,16198.0,-39572.0,0.0,-23374.0,16198.0,-39572.0,18564.0,-23374.0,-38688.0,976626.0,0.018564,-0.023374,-0.038688,-0.3584720184414772,1.863,495294,1.4139999999897555,922734.1359999999,-0.07726586400000002,0.02194181972515441,53891.86400000006,0.05389186400000002,-0.0033778197251544094
