date,cash_eod,option_mv_eod,etf_mv_eod,equity_eod,realized_pnl_cum,unrealized_pnl_eod,daily_pnl,total_pnl_cum,drawdown,equity_curve,daily_return,cum_return,drawdown_pct,rolling_sharpe_60d,benchmark_price,benchmark_shares,benchmark_cash,benchmark_equity,benchmark_return,benchmark_daily_return,excess_equity,excess_return,excess_daily_return
2023-10-12,9621.0,-58.00000000000001,0.0,9563.0,9621.0,-58.00000000000001,58.0,9563.0,0.0,1009563.0,5.8e-05,0.009563,0.0,2.4675230148901464,1.968,436871,2.280999999959022,859764.409,-0.14023559100000005,0.007164771029246619,149798.59100000001,0.14979859100000004,-0.0071067710292466195
2023-10-13,9621.0,-58.00000000000001,0.0,9563.0,9621.0,-58.00000000000001,0.0,9563.0,0.0,1009563.0,0.0,0.009563,0.0,2.4675230148901464,1.945,436871,2.280999999959022,849716.3759999999,-0.15028362400000006,-0.011686960863717344,159846.62400000007,0.15984662400000005,0.011686960863717344
2023-10-16,9621.0,-116.00000000000001,0.0,9505.0,9621.0,-116.00000000000001,-58.0,9505.0,-58.0,1009505.0,-5.8e-05,0.009505,-5.8e-05,2.4210991154914794,1.906,436871,2.280999999959022,832678.4069999999,-0.16732159300000016,-0.020051360055228673,176826.5930000001,0.17682659300000014,0.019993360055228674
2023-10-17,9621.0,-58.00000000000001,0.0,9563.0,9621.0,-58.00000000000001,58.0,9563.0,0.0,1009563.0,5.8e-05,0.009563,0.0,2.466345035946731,1.912,436871,2.280999999959022,835299.6329999999,-0.16470036700000013,0.003147945206654068,174263.3670000001,0.1742633670000001,-0.003089945206654068
2023-10-18,9621.0,-58.00000000000001,0.0,9563.0,9621.0,-58.00000000000001,0.0,9563.0,0.0,1009563.0,0.0,0.009563,0.0,2.466345035946731,1.887,436871,2.280999999959022,824377.858,-0.17562214200000004,-0.013075278102031573,185185.142,0.18518514200000002,0.013075278102031573
2023-10-19,9621.0,-58.00000000000001,0.0,9563.0,9621.0,-58.00000000000001,0.0,9563.0,0.0,1009563.0,0.0,0.009563,0.0,2.466345035946731,1.867,436871,2.280999999959022,815640.438,-0.18435956200000003,-0.010598804801960182,193922.56200000003,0.19392256200000002,0.010598804801960182
2023-10-20,9621.0,-58.00000000000001,0.0,9563.0,9621.0,-58.00000000000001,0.0,9563.0,0.0,1009563.0,0.0,0.009563,0.0,2.466345035946731,1.85,436871,2.280999999959022,808213.631,-0.1917863689999999,-0.009105491407722321,201349.36899999995,0.2013493689999999,0.009105491407722321
2023-10-23,9621.0,-174.0,0.0,9447.0,9621.0,-174.0,-116.0,9447.0,-116.0,1009447.0,-0.000116,0.009447,-0.000116,2.3724978534020535,1.815,436871,2.280999999959022,792923.146,-0.2070768540000001,-0.018918865524553463,216523.85400000005,0.2165238540000001,0.01880286552455346
2023-10-24,9621.0,-58.00000000000001,0.0,9563.0,9621.0,-58.00000000000001,116.0,9563.0,0.0,1009563.0,0.000116,0.009563,0.0,2.4616499347705205,1.832,436871,2.280999999959022,800349.953,-0.199650047,0.00936636424029924,209213.04700000002,0.20921304699999999,-0.009250364240299241
2023-10-25,9621.0,0.0,0.0,9621.0,9621.0,0.0,58.0,9621.0,0.0,1009621.0,5.8e-05,0.009621,0.0,2.5068454913805325,1.815,436871,2.280999999959022,792923.146,-0.2070768540000001,-0.009279449535995687,216697.85400000005,0.21669785400000008,0.009337449535995688
2023-10-26,10551.0,-310.0,0.0,10241.0,10551.0,-310.0,620.0,10241.0,0.0,1010241.0,0.00062,0.010241,0.0,2.8796346028090265,1.829,436871,2.280999999959022,799039.34,-0.20096066,0.007713476433187649,211201.66000000003,0.21120166,-0.007093476433187649
2023-10-27,10551.0,-185.99999999999997,0.0,10365.0,10551.0,-185.99999999999997,124.0,10365.0,0.0,1010365.0,0.000124,0.010365,0.0,3.056798559794596,1.881,436871,2.280999999959022,821756.632,-0.17824336800000007,0.02843075536180728,188608.36800000002,0.18860836800000008,-0.02830675536180728
